Symbol,EXPIERY,Quantity,Timeframe,MA1,MA2,StartTime,Stoptime,PercentagePrice,TargetBuffer,RSI_Period,RSI_Buy,RSI_Sell
ADANIPORTS,29-05-2025,1,180,21,200,12:30:00,23:30:00,0.1,0.02,14,48,52
PNBHOUSING,29-05-2025,1,180,21,200,12:30:00,23:30:00,0.1,0.02,14,48,52
GODREJPROP,29-05-2025,1,180,21,200,12:30:00,23:30:00,0.1,0.02,14,48,52
IOC,29-05-2025,1,180,21,200,12:30:00,23:30:00,0.1,0.02,14,48,52
SONACOMS,29-05-2025,1,180,21,200,12:30:00,23:30:00,0.1,0.02,14,48,52
DEEPAKNTR,29-05-2025,1,180,21,200,12:30:00,23:30:00,0.1,0.02,14,48,52
LAURUSLABS,29-05-2025,1,180,21,200,12:30:00,23:30:00,0.1,0.02,14,48,52
BAJFINANCE,29-05-2025,1,180,21,200,12:30:00,23:30:00,0.1,0.02,14,48,52
NCC,29-05-2025,1,180,21,200,12:30:00,23:30:00,0.1,0.02,14,48,52
MCX,29-05-2025,1,180,21,200,12:30:00,23:30:00,0.1,0.02,14,48,52
NATIONALUM,29-05-2025,1,180,21,200,12:30:00,23:30:00,0.1,0.02,14,48,52
PERSISTENT,29-05-2025,1,180,21,200,12:30:00,23:30:00,0.1,0.02,14,48,52
PIIND,29-05-2025,1,180,21,200,12:30:00,23:30:00,0.1,0.02,14,48,52
DLF,29-05-2025,1,180,21,200,12:30:00,23:30:00,0.1,0.02,14,48,52
IDFCFIRSTB,29-05-2025,1,180,21,200,12:30:00,23:30:00,0.1,0.02,14,48,52
INDIGO,29-05-2025,1,180,21,200,12:30:00,23:30:00,0.1,0.02,14,48,52
INDUSINDBK,29-05-2025,1,180,21,200,12:30:00,23:30:00,0.1,0.02,14,48,52
HINDPETRO,29-05-2025,1,180,21,200,12:30:00,23:30:00,0.1,0.02,14,48,52
INDHOTEL,29-05-2025,1,180,21,200,12:30:00,23:30:00,0.1,0.02,14,48,52
UPL,29-05-2025,1,180,21,200,12:30:00,23:30:00,0.1,0.02,14,48,52
TVSMOTOR,29-05-2025,1,180,21,200,12:30:00,23:30:00,0.1,0.02,14,48,52
SBIN,29-05-2025,1,180,21,200,12:30:00,23:30:00,0.1,0.02,14,48,52
APOLLOTYRE,29-05-2025,1,180,21,200,12:30:00,23:30:00,0.1,0.02,14,48,52
AARTIIND,29-05-2025,1,180,21,200,12:30:00,23:30:00,0.1,0.02,14,48,52
RELIANCE,29-05-2025,1,180,21,200,12:30:00,23:30:00,0.1,0.02,14,48,52
BSOFT,29-05-2025,1,180,21,200,12:30:00,23:30:00,0.1,0.02,14,48,52
MARUTI,29-05-2025,1,180,21,200,12:30:00,23:30:00,0.1,0.02,14,48,52
LTF,29-05-2025,1,180,21,200,12:30:00,23:30:00,0.1,0.02,14,48,52
TATAMOTORS,29-05-2025,1,180,21,200,12:30:00,23:30:00,0.1,0.02,14,48,52
HINDALCO,29-05-2025,1,180,21,200,12:30:00,23:30:00,0.1,0.02,14,48,52
COFORGE,29-05-2025,1,180,21,200,12:30:00,23:30:00,0.1,0.02,14,48,52
CONCOR,29-05-2025,1,180,21,200,12:30:00,23:30:00,0.1,0.02,14,48,52
ITC,29-05-2025,1,180,21,200,12:30:00,23:30:00,0.1,0.02,14,48,52
PEL,29-05-2025,1,180,21,200,12:30:00,23:30:00,0.1,0.02,14,48,52
NAUKRI,29-05-2025,1,180,21,200,12:30:00,23:30:00,0.1,0.02,14,48,52
MGL,29-05-2025,1,180,21,200,12:30:00,23:30:00,0.1,0.02,14,48,52
